date	title	topic	author	path	post_text
Wednesday, 16 March 2022	Our ongoing approach to the war in Ukraine	Company	Sinéad McSweeney	https://blog.twitter.com/en_us/topics/company/2022/our-ongoing-approach-to-the-war-in-ukraine	
Wednesday, 9 March 2022	Twitter Shops: More space to shop	Product	Justin Hoang	https://blog.twitter.com/en_us/topics/product/2022/twitter-shops-more-space-to-shop	
Thursday, 3 March 2022	Building a better Birdwatch 	Company	Keith Coleman	https://blog.twitter.com/en_us/topics/company/2022/building-a-better-birdwatch	
Thursday, 27 January 2022	#KpopTwitter reaches new heights with 7.8 billion global Tweets	Insights	YeonJeong Kim	https://blog.twitter.com/en_us/topics/insights/2022/-kpoptwitter-reaches-new-heights-with-7-8-billion-global-tweets	
Tuesday, 25 January 2022	An update to the Twitter Transparency Center	Company	X	https://blog.twitter.com/en_us/topics/company/2021/transparency-19	
Monday, 10 January 2022	A banner year for gaming on Twitter in 2021	Insights	Rishi Chadha	https://blog.twitter.com/en_us/topics/insights/2021/a-banner-year-for-gaming-on-twitter-in-2021--	
Saturday, 1 January 2022	Twitter's report in compliance with Regulation (EU) 2021/1232	Company		https://blog.twitter.com/en_us/topics/company/2022/twitter-s-eu-submission-for-2021-1232	
Friday, 17 December 2021	Our continued collaboration with trusted partners    	Company	X Safety	https://blog.twitter.com/en_us/topics/company/2021/our-continued-collaboration-with-trusted-partners	
Tuesday, 14 December 2021	The state of social intelligence: 2021 year in review	Insights	Joe Rice	https://blog.twitter.com/en_us/topics/insights/2021/the-state-of-social-intelligence-2021-year-in-review	
Thursday, 9 December 2021	Our Holiday Wish List for the Digital Services Act	Company	Twitter Public Policy	https://blog.twitter.com/en_us/topics/company/2021/ourholidaywishlistforthedigitalservicesact	
Thursday, 9 December 2021	2021 #OnlyOnTwitter	Insights	Twitter Data	https://blog.twitter.com/en_us/topics/insights/2021/2021--onlyontwitter	
Monday, 6 December 2021	Season 2 of I Wish I Knew, a @TwitterResearch Podcast	Company		https://blog.twitter.com/en_us/topics/company/2021/season-2-i-wish-know	
Thursday, 2 December 2021	 Expanding access beyond information operations 	Company	Yoel Roth	https://blog.twitter.com/en_us/topics/company/2021/-expanding-access-beyond-information-operations-	
Thursday, 2 December 2021	Disclosing state-linked information operations we've removed	Company		https://blog.twitter.com/en_us/topics/company/2021/disclosing-state-linked-information-operations-we-ve-removed	
Wednesday, 1 December 2021	Our new search prompt to help people find credible information about HIV	Company	Kathleen Reen	https://blog.twitter.com/en_us/topics/company/2021/our-new-search-prompt-to-help-people-find-credible-information-about-hiv	
Tuesday, 30 November 2021	The evolution of social intelligence: Q&A with Dr. Jillian Ney	Insights	Joe Rice	https://blog.twitter.com/en_us/topics/insights/2021/the-evolution-of-social-intelligence	
Tuesday, 30 November 2021	Expanding our private information policy to include media	Company		https://blog.twitter.com/en_us/topics/company/2021/private-information-policy-update	
Monday, 22 November 2021	Watch, chat, shop: Live Shopping on Twitter	Product	Justin Hoang	https://blog.twitter.com/en_us/topics/product/2021/watch--chat--shop--live-shopping-on-twitter	
Wednesday, 17 November 2021	Our work to protect the integrity of the conversation in Ethiopia	Company		https://blog.twitter.com/en_us/topics/company/2021/our-work-to-protect-the-safety-and-integrity-of-the-conversation	
Wednesday, 10 November 2021	Our continued work to protect your privacy and security	Company	Damien Kieran 	https://blog.twitter.com/en_us/topics/company/2021/our-continued-work-to-protect-your-privacy-and-security	
Tuesday, 9 November 2021	Twitter smarter, Twitter harder with Twitter Blue	Product	Sara Beykpour	https://blog.twitter.com/en_us/topics/product/2021/twitter-smarter--twitter-harder-with-twitter-blue	
Monday, 1 November 2021	#COP26 is happening on Twitter	Company	X	https://blog.twitter.com/en_us/topics/company/2021/-cop26-is-happening-on-twitter	
Thursday, 2 December 2021	 Expanding access beyond information operations 	Company	Yoel Roth	https://blog.twitter.com/en_us/topics/company/2021/-expanding-access-beyond-information-operations-	
Thursday, 2 December 2021	Disclosing state-linked information operations we've removed	Company		https://blog.twitter.com/en_us/topics/company/2021/disclosing-state-linked-information-operations-we-ve-removed	
Wednesday, 1 December 2021	Our new search prompt to help people find credible information about HIV	Company	Kathleen Reen	https://blog.twitter.com/en_us/topics/company/2021/our-new-search-prompt-to-help-people-find-credible-information-about-hiv	
Tuesday, 30 November 2021	The evolution of social intelligence: Q&A with Dr. Jillian Ney	Insights	Joe Rice	https://blog.twitter.com/en_us/topics/insights/2021/the-evolution-of-social-intelligence	
Tuesday, 30 November 2021	Expanding our private information policy to include media	Company		https://blog.twitter.com/en_us/topics/company/2021/private-information-policy-update	
Monday, 22 November 2021	Watch, chat, shop: Live Shopping on Twitter	Product	Justin Hoang	https://blog.twitter.com/en_us/topics/product/2021/watch--chat--shop--live-shopping-on-twitter	
Wednesday, 17 November 2021	Our work to protect the integrity of the conversation in Ethiopia	Company		https://blog.twitter.com/en_us/topics/company/2021/our-work-to-protect-the-safety-and-integrity-of-the-conversation	
Wednesday, 10 November 2021	Our continued work to protect your privacy and security	Company	Damien Kieran 	https://blog.twitter.com/en_us/topics/company/2021/our-continued-work-to-protect-your-privacy-and-security	
Tuesday, 9 November 2021	Twitter smarter, Twitter harder with Twitter Blue	Product	Sara Beykpour	https://blog.twitter.com/en_us/topics/product/2021/twitter-smarter--twitter-harder-with-twitter-blue	
Monday, 1 November 2021	#COP26 is happening on Twitter	Company	X	https://blog.twitter.com/en_us/topics/company/2021/-cop26-is-happening-on-twitter	
Wednesday, 28 July 2021	Twitter Shopping: Testing the Shop Spotlight	Product	Bruce Falck	https://blog.twitter.com/en_us/topics/product/2021/twitter-shopping--testing-shoppable-profiles-on-twitter	
Wednesday, 21 July 2021	Twitter and the MRC: Brand Safety Accreditation Agreement	Product	Jonathan Lewis	https://blog.twitter.com/en_us/topics/product/2021/twitter-and-the-mrc--brand-safety-accreditation-agreement	
Wednesday, 21 July 2021	Enjoy top content and conversation from the Games on Twitter 	Events	Jay Bavishi	https://blog.twitter.com/en_us/topics/events/2020/enjoy-top-content-and-conversation-from-the-games-on-twitter-	
Thursday, 15 July 2021	Inclusion & Diversity Report July 2021: Cultivating Inclusion	Company	Dalana Brand	https://blog.twitter.com/en_us/topics/company/2021/inclusion-and-diversity-report-cultivating-inclusion-july-2021	
Wednesday, 14 July 2021	Goodbye, Fleets	Product	Ilya Brown	https://blog.twitter.com/en_us/topics/product/2021/goodbye-fleets	
Wednesday, 14 July 2021	An update to the Twitter Transparency Center	Company	X	https://blog.twitter.com/en_us/topics/company/2021/an-update-to-the-twitter-transparency-center	
Wednesday, 30 June 2021	Stronger security for your Twitter account	Product	Andy Sayler	https://blog.twitter.com/en_us/topics/product/2020/stronger-security-for-your-twitter-account	
Monday, 28 June 2021	Listening to the real voice of the customer on Twitter	Insights	Joe Rice	https://blog.twitter.com/en_us/topics/insights/2021/how-to-hear-the-real-voice-of-the-customer	
Wednesday, 23 June 2021	Digital Services Act: Defending the Open Internet	Company	Twitter Public Policy	https://blog.twitter.com/en_us/topics/company/2021/the-digital-services-act--defending-the-digital-single-market	
Monday, 21 June 2021	Twitter gaming and esports insights for the first half of 2021	Insights	Rishi Chadha	https://blog.twitter.com/en_us/topics/insights/2021/twitter-gaming-and-esports-insights-for-the-first-half-of-2021	
Tuesday, 15 June 2021	A new Arabic language setting, from غرّد to غرّدي 	Product	Carla El Maalouli	https://blog.twitter.com/en_us/topics/product/2021/a-new-arabic-language-setting	
Thursday, 3 June 2021	Introducing Twitter Blue - Twitter’s first-ever subscription offering 	Company	Sara Beykpour	https://blog.twitter.com/en_us/topics/company/2021/introducing-twitter-blue	
Thursday, 3 June 2021	Elevating credible climate change information this World Environment Day	Company	Seán Boyle	https://blog.twitter.com/en_us/topics/company/2021/elevating-credible-climate-change-information-this-world-environ	
Thursday, 20 May 2021	Relaunching verification and what’s next	Company	X	https://blog.twitter.com/en_us/topics/company/2021/relaunching-verification-and-whats-next	
Monday, 17 May 2021	How British Telecom is leveraging Twitter data	Insights	Joe Rice	https://blog.twitter.com/en_us/topics/insights/2021/how-british-telecom-is-leveraging-social-data-qa-with-british-telecom	
Thursday, 6 May 2021	Introducing Tips	Product	Esther Crawford	https://blog.twitter.com/en_us/topics/product/2021/introducing-tips	
Wednesday, 5 May 2021	Tweeting with consideration	Product	Anita Butler	https://blog.twitter.com/en_us/topics/product/2021/tweeting-with-consideration	
Tuesday, 4 May 2021	Introducing I Wish I Knew, a @TwitterResearch podcast	Company	Nikkia Reveillac	https://blog.twitter.com/en_us/topics/company/2021/i-wish-i-knew-podcast	
Tuesday, 4 May 2021	A better way to publish and read on Twitter	Company	Mike Park	https://blog.twitter.com/en_us/topics/company/2021/a-better-way-to-publish-and-read-on-twitter	
Monday, 3 May 2021	Making Spaces accessible	Company	Amber James	https://blog.twitter.com/en_us/topics/company/2021/making-spaces-accessible	
Monday, 3 May 2021	Spaces is here, let’s chat	Product	Twitter Spaces	https://blog.twitter.com/en_us/topics/product/2021/spaces-is-here	
Monday, 3 May 2021	Supporting local journalists on #WorldPressFreedomDay	Company	Twitter News	https://blog.twitter.com/en_us/topics/company/2021/wpfd-2021	
Wednesday, 14 April 2021	Introducing our Responsible Machine Learning Initiative  	Company	Jutta Williams	https://blog.twitter.com/en_us/topics/company/2021/introducing-responsible-machine-learning-initiative	
Monday, 12 April 2021	Establishing Twitter's presence in Africa	Company	Kayvon Beykpour	https://blog.twitter.com/en_us/topics/company/2021/establishing-twitter-s-presence-in-africa	
Saturday, 10 April 2021	5 alternative food trends to add to your plate	Insights	Leia Reid	https://blog.twitter.com/en_us/topics/insights/2021/5-alternative-food-trends-to-add-to-your-plate	
Wednesday, 7 April 2021	Introducing Twitter’s Global Impact Report	Company	X	https://blog.twitter.com/en_us/topics/company/2021/introducing-twitters-global-impact-report	
Wednesday, 31 March 2021	Survey fatigue is real, insight from Twitter can help	Insights	Joe Rice	https://blog.twitter.com/en_us/topics/insights/2021/survey-fatigue-is-real-insight-from-twitter-can-help	
Friday, 19 March 2021	An update on Twitter in Turkey	Company	Twitter Public Policy	https://blog.twitter.com/en_us/topics/company/2021/update-twitter-turkey	
Thursday, 18 March 2021	Calling for public input on our approach to world leaders	Company		https://blog.twitter.com/en_us/topics/company/2021/calling-for-public-input-on-our-approach-to-world-leaders	
Tuesday, 9 March 2021	Advancing our efforts to make Twitter a safer place for advertisers	Product	AJ Brown	https://blog.twitter.com/en_us/topics/product/2021/advancing-our-products-and-partnerships-to-make-twitter-a-safer-	
Monday, 1 March 2021	 Updates to our work on COVID-19 vaccine misinformation 	Company		https://blog.twitter.com/en_us/topics/company/2021/updates-to-our-work-on-covid-19-vaccine-misinformation	
Tuesday, 23 February 2021	Disclosing networks of state-linked information operations 	Company		https://blog.twitter.com/en_us/topics/company/2021/disclosing-networks-of-state-linked-information-operations-	
Wednesday, 17 February 2021	Allyship right now: #StandForAsians	Company	Marium R. Qureshi	https://blog.twitter.com/en_us/topics/company/2021/allyship-right-now-stand-for-asians	
Thursday, 11 February 2021	Expanding our work to identify state-affiliated accounts	Company	Twitter Support	https://blog.twitter.com/en_us/topics/company/2021/account-labels-phase2	
Tuesday, 9 February 2021	#SaferInternetDay 2021: Together for a better Internet	Company	Camino Rojo 	https://blog.twitter.com/en_us/topics/company/2021/saferinternetday2021togetherforabetterinternet	
Monday, 8 February 2021	Super Bowl LV on Twitter!	Events		https://blog.twitter.com/en_us/topics/events/2020/super-bowl-lv-on-twitter-	
Monday, 8 February 2021	Listen here SMBs, you can't afford not to	Insights	Joe Rice	https://blog.twitter.com/en_us/topics/insights/2021/listen-here-smbs--you-can-t-afford-not-to	
Thursday, 4 February 2021	#KpopTwitter achieves new record of 6.7 billion Tweets globally in 2020	Insights	YeonJeong Kim	https://blog.twitter.com/en_us/topics/insights/2021/kpoptwitter-achieves-new-record-of-6-billion-tweets-globally-in-2020	
Friday, 29 January 2021	Imperfect, by design	Company	Donna Lamar	https://blog.twitter.com/en_us/topics/company/2021/imperfect-by-design	
Tuesday, 26 January 2021	Making Twitter a better home for writers	Company	Kayvon Beykpour	https://blog.twitter.com/en_us/topics/company/2021/making-twitter-a-better-home-for-writers	
Monday, 25 January 2021	Introducing Birdwatch, a community-based approach to misinformation	Product	Keith Coleman	https://blog.twitter.com/en_us/topics/product/2021/introducing-birdwatch-a-community-based-approach-to-misinformation	
Thursday, 14 January 2021	What to expect on Twitter on US Inauguration Day 2021	Company		https://blog.twitter.com/en_us/topics/company/2021/inauguration-2021	
Tuesday, 12 January 2021	Coronavirus: Staying safe and informed on Twitter	Company	X	https://blog.twitter.com/en_us/topics/company/2020/covid-19	
Tuesday, 12 January 2021	An update following the riots in Washington, DC	Company	X Safety	https://blog.twitter.com/en_us/topics/company/2021/protecting--the-conversation-following-the-riots-in-washington--	
Monday, 11 January 2021	Insights from the 17th Twitter Transparency Report	Company	X	https://blog.twitter.com/en_us/topics/company/2020/ttr-17	
Monday, 11 January 2021	Over 2 Billion Gaming Tweets in 2020!	Insights		https://blog.twitter.com/en_us/topics/insights/2021/over-2-billion-gaming-tweets-in-2020-	
Friday, 8 January 2021	Permanent suspension of @realDonaldTrump	Company	X	https://blog.twitter.com/en_us/topics/company/2020/suspension	
Friday, 18 December 2020	Looking ahead to 2021: Twitter Data Partners weigh in	Insights		https://blog.twitter.com/en_us/topics/insights/2021/looking-ahead-to-2021-twitter-data-partners-weigh-in	
Thursday, 17 December 2020	Our plans to relaunch verification and what’s next	Company	X	https://blog.twitter.com/en_us/topics/company/2020/our-plans-to-relaunch-verification-and-whats-next	
Wednesday, 16 December 2020	COVID-19: Our approach to misleading vaccine information	Company		https://blog.twitter.com/en_us/topics/company/2020/covid19-vaccine	
Monday, 14 December 2020	Expanding our commitment to brand safety	Product	Jonathan Lewis	https://blog.twitter.com/en_us/topics/product/2020/expanding-our-commitment-to-brand-safety	
Thursday, 10 December 2020	Inclusion & Diversity Q4 2020: Leadership, transparency & accountability	Company		https://blog.twitter.com/en_us/topics/company/2020/inclusion-and-diversity-report-q4-2020-leadership-transparency-and-accountability	
Wednesday, 9 December 2020	Crossroads for the Open Internet	Company	Twitter Public Policy	https://blog.twitter.com/en_us/topics/company/2020/crossroads-for-the-open-internet	
Monday, 7 December 2020	Spending 2020 Together on Twitter	Insights	Tracy McGraw	https://blog.twitter.com/en_us/topics/insights/2020/spending-2020-together-on-twitter	
Monday, 7 December 2020	 The state of social intelligence: 2020 year in review	Insights	Joe Rice	https://blog.twitter.com/en_us/topics/insights/2020/the-state-of-social-intelligence-2020-year-in-review	
Thursday, 26 November 2020	Nation states exerting power online - sharing data can guard against it 	Company	Katy Minshall 	https://blog.twitter.com/en_us/topics/company/2020/nation-states-exerting-power-online-sharing-data-can-guard-again	
Tuesday, 24 November 2020	Our work to combat the ‘shadow pandemic’ 	Company	Twitter Public Policy	https://blog.twitter.com/en_us/topics/company/2020/our-work-to-combat-the-shadow-pandemic	
Tuesday, 24 November 2020	Help us shape our new approach to verification 	Company	X	https://blog.twitter.com/en_us/topics/company/2020/help-us-shape-our-new-approach-to-verification	
Friday, 20 November 2020	#TwitterForGood Day — Fall 2020 	Company	Karl Robillard	https://blog.twitter.com/en_us/topics/company/2020/twitterforgood-day-fall-2020	
Tuesday, 17 November 2020	Fleets: a new way to join the conversation	Product	Joshua Harris	https://blog.twitter.com/en_us/topics/product/2020/introducing-fleets-new-way-to-join-the-conversation	
Thursday, 12 November 2020	An update on our work around the 2020 US Elections	Company	Vijaya Gadde	https://blog.twitter.com/en_us/topics/company/2020/2020-election-update	
Wednesday, 11 November 2020	How it started, how it’s going: Performance advertising on Twitter	Product		https://blog.twitter.com/en_us/topics/product/2020/How-it-started-how-its-going-Performance-advertising-on-Twitter	
Friday, 30 October 2020	National Disability Employment Awareness Month 2020 with Twitter Able	Company	Justine De Caires	https://blog.twitter.com/en_us/topics/company/2020/national-disability-employment-awareness-month-2020	
Wednesday, 28 October 2020	Serving the public conversation during the 2020 New Zealand Election	Company	Kara Hinesley	https://blog.twitter.com/en_us/topics/company/2020/nz-election-2020-wrap-up	
Thursday, 22 October 2020	Hispanic Heritage Month 2020 recap	Company	Catalina Restrepo	https://blog.twitter.com/en_us/topics/company/2020/hispanic-heritage-month-2020-recap	
Thursday, 22 October 2020	How Twitter is helping people vote early	Company	Bridget Coyne	https://blog.twitter.com/en_us/topics/company/2020/vote-early	
Tuesday, 13 October 2020	The 2020 New Zealand election is happening on Twitter	Company	Kara Hinesley	https://blog.twitter.com/en_us/topics/company/2020/nz-election-2020	
Friday, 9 October 2020	Additional steps we're taking ahead of the 2020 US Election	Company	Vijaya Gadde	https://blog.twitter.com/en_us/topics/company/2020/2020-election-changes	
Thursday, 8 October 2020	Disclosing networks to our state-linked information operations archive	Company		https://blog.twitter.com/en_us/topics/company/2020/disclosing-removed-networks-to-our-archive-of-state-linked-information	
Thursday, 1 October 2020	Transparency around image cropping and changes to come 	Product	Parag Agrawal	https://blog.twitter.com/en_us/topics/product/2020/transparency-image-cropping	
Wednesday, 30 September 2020	Inclusion & Diversity Report September 2020: #BlackLivesMatter	Company		https://blog.twitter.com/en_us/topics/company/2020/inclusion-and-diversity-report-blacklivesmatter-september-2020	
Thursday, 24 September 2020	Our continued work to keep Twitter secure 	Company	Parag Agrawal	https://blog.twitter.com/en_us/topics/company/2020/our-continued-work-to-keep-twitter-secure	
Thursday, 24 September 2020	Celebrating the power of young people through #YouthLead	Company		https://blog.twitter.com/en_us/topics/company/2020/celebratingthepowerofyoungpeoplethroughyouthlead	
Tuesday, 22 September 2020	Empowering US voters on National Voter Registration Day	Company	Bridget Coyne	https://blog.twitter.com/en_us/topics/company/2020/empowering-US-voters	
Monday, 21 September 2020	Celebrating 10 years of #KpopTwitter	Insights	YeonJeong Kim	https://blog.twitter.com/en_us/topics/insights/2020/Celebrating10yearsofKpopTwitter	
Thursday, 17 September 2020	Improved account security during the 2020 US election	Company		https://blog.twitter.com/en_us/topics/company/2020/Improved-Account-Security-2020-US-Election	
Tuesday, 15 September 2020	Helping you find accurate US Election News and Information	Company	Bridget Coyne	https://blog.twitter.com/en_us/topics/company/2020/2020-election-news	
Thursday, 10 September 2020	Expanding our policies to further protect the civic conversation	Company		https://blog.twitter.com/en_us/topics/company/2020/civic-integrity-policy-update	
Wednesday, 9 September 2020	Amplifying #SuicidePrevention resources on Twitter	Company	Monique Meche	https://blog.twitter.com/en_us/topics/company/2020/amplifying-suicideprevention-resources-on-twitter	
Wednesday, 2 September 2020	Making Twitter more accessible	Company		https://blog.twitter.com/en_us/topics/company/2020/making-twitter-more-accessible	
Tuesday, 1 September 2020	Building a real-time golf leaderboard	Insights	John Demos	https://blog.twitter.com/en_us/topics/insights/2020/building-a-real-time-golf-leaderboard	
Tuesday, 1 September 2020	Adding more context to Trends	Product	Liz Lee	https://blog.twitter.com/en_us/topics/product/2020/adding-more-context-to-trends	
Monday, 31 August 2020	How LikeFolio Gains Financial Insights for Investors with Twitter Data	Insights	Sushil Trivedi	https://blog.twitter.com/en_us/topics/insights/2020/how-likefolio-gains-unique-financial-insights-for-investors-with-twitter	
Wednesday, 19 August 2020	Introducing the new Twitter Transparency Center	Company	X	https://blog.twitter.com/en_us/topics/company/2020/new-transparency-center	
Wednesday, 19 August 2020	Supporting policy change and service reform through Twitter data	Insights	Joe Rice	https://blog.twitter.com/en_us/topics/insights/2020/Supporting-policy-change-and-service-reform-through-Twitter-data	
