,date,title,category,url,categories,children,hate_speech,health_disinfo,political_disinfo,safety
17,2023-07-21 09:15:00+00:00,"Our commitment to advancing bold and responsible AI, together",Public Policy,https://blog.google/outreach-initiatives/public-policy/our-commitment-to-advancing-bold-and-responsible-ai-together/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0
17,2023-07-21 09:15:00+00:00,"Our commitment to advancing bold and responsible AI, together",Public Policy,https://blog.google/outreach-initiatives/public-policy/our-commitment-to-advancing-bold-and-responsible-ai-together/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1
18,2023-06-29 17:00:00+00:00,Our approach to news regulation,News,https://blog.google/products/news/google-news-regulation/,"['hate_speech', 'health_disinfo', 'political_disinfo']",0,1,0,0,0
18,2023-06-29 17:00:00+00:00,Our approach to news regulation,News,https://blog.google/products/news/google-news-regulation/,"['hate_speech', 'health_disinfo', 'political_disinfo']",0,0,1,0,0
18,2023-06-29 17:00:00+00:00,Our approach to news regulation,News,https://blog.google/products/news/google-news-regulation/,"['hate_speech', 'health_disinfo', 'political_disinfo']",0,0,0,1,0
19,2023-06-16 10:00:00+00:00,We're taking legal action to stop fake review scams,Public Policy,https://blog.google/outreach-initiatives/public-policy/legal-action-stop-fake-review-scams/,['safety'],0,0,0,0,1
20,2023-06-14 14:55:00+00:00,Today’s European Commission announcement about our advertising technology,Google in Europe,https://blog.google/around-the-globe/google-europe/todays-european-commission-announcement-about-our-advertising-technology/,[],0,0,0,0,0
21,2023-05-12 17:00:00+00:00,Protecting people’s privacy on health topics,Safety & Security,https://blog.google/technology/safety-security/protecting-peoples-privacy-on-health-topics/,"['health_disinfo', 'safety']",0,0,1,0,0
21,2023-05-12 17:00:00+00:00,Protecting people’s privacy on health topics,Safety & Security,https://blog.google/technology/safety-security/protecting-peoples-privacy-on-health-topics/,"['health_disinfo', 'safety']",0,0,0,0,1
22,2023-03-28 10:00:00+00:00,Protecting and advancing democracy online,Public Policy,https://blog.google/outreach-initiatives/public-policy/protecting-and-advancing-democracy-online/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,1,0,0
22,2023-03-28 10:00:00+00:00,Protecting and advancing democracy online,Public Policy,https://blog.google/outreach-initiatives/public-policy/protecting-and-advancing-democracy-online/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0
22,2023-03-28 10:00:00+00:00,Protecting and advancing democracy online,Public Policy,https://blog.google/outreach-initiatives/public-policy/protecting-and-advancing-democracy-online/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1
23,2023-02-24 19:50:00+00:00,Updates on our support for Ukraine,Public Policy,https://blog.google/outreach-initiatives/public-policy/updates-google-support-for-ukraine/,"['health_disinfo', 'political_disinfo']",0,0,1,0,0
23,2023-02-24 19:50:00+00:00,Updates on our support for Ukraine,Public Policy,https://blog.google/outreach-initiatives/public-policy/updates-google-support-for-ukraine/,"['health_disinfo', 'political_disinfo']",0,0,0,1,0
24,2023-02-16 15:00:00+00:00,Google returns to the Munich Security Conference,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-returns-to-the-munich-security-conference/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,1,0,0
24,2023-02-16 15:00:00+00:00,Google returns to the Munich Security Conference,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-returns-to-the-munich-security-conference/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0
24,2023-02-16 15:00:00+00:00,Google returns to the Munich Security Conference,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-returns-to-the-munich-security-conference/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1
25,2023-01-24 19:58:00+00:00,DOJ’s lawsuit ignores the enormous competition in the online advertising industry,Public Policy,https://blog.google/outreach-initiatives/public-policy/doj-ad-tech-lawsuit-response/,[],0,0,0,0,0
26,2023-01-12 20:00:00+00:00,"Gonzalez v Google and the future of an open, free and safe internet",Public Policy,https://blog.google/outreach-initiatives/public-policy/gonzalez-v-google-and-the-future-of-an-open-free-and-safe-internet/,['safety'],0,0,0,0,1
27,2022-12-21 20:00:00+00:00,Our ongoing commitment to human rights,Public Policy,https://blog.google/outreach-initiatives/public-policy/our-ongoing-commitment-to-human-rights/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,1,0,0
27,2022-12-21 20:00:00+00:00,Our ongoing commitment to human rights,Public Policy,https://blog.google/outreach-initiatives/public-policy/our-ongoing-commitment-to-human-rights/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0
27,2022-12-21 20:00:00+00:00,Our ongoing commitment to human rights,Public Policy,https://blog.google/outreach-initiatives/public-policy/our-ongoing-commitment-to-human-rights/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1
28,2022-12-01 17:30:00+00:00,New ways we're supporting Ukraine,Public Policy,https://blog.google/outreach-initiatives/public-policy/new-ways-were-supporting-ukraine/,"['health_disinfo', 'political_disinfo']",0,0,1,0,0
28,2022-12-01 17:30:00+00:00,New ways we're supporting Ukraine,Public Policy,https://blog.google/outreach-initiatives/public-policy/new-ways-were-supporting-ukraine/,"['health_disinfo', 'political_disinfo']",0,0,0,1,0
29,2022-11-18 15:45:00+00:00,A ruling in our legal case against the Glupteba botnet,Public Policy,https://blog.google/outreach-initiatives/public-policy/a-ruling-in-our-legal-case-against-the-glupteba-botnet/,[],0,0,0,0,0
30,2022-11-14 17:00:00+00:00,Managing your location data,Public Policy,https://blog.google/outreach-initiatives/public-policy/managing-your-location-data/,[],0,0,0,0,0
31,2022-10-27 16:00:00+00:00,Why Google supports the US Securing Open Source Software Act,Safety & Security,https://blog.google/technology/safety-security/why-google-supports-the-us-securing-open-source-software-act/,['safety'],0,0,0,0,1
32,2022-10-26 08:30:00+00:00,"In Madrid, a pitch for “open security”",Public Policy,https://blog.google/outreach-initiatives/public-policy/in-madrid-a-pitch-for-open-security/,['safety'],0,0,0,0,1
33,2022-10-12 18:30:00+00:00,A $100 billion opportunity to boost digital exports in Latin America,Public Policy,https://blog.google/outreach-initiatives/public-policy/a-100-billion-opportunity-to-boost-digital-exports-in-latin-america/,[],0,0,0,0,0
34,2022-10-10 08:00:00+00:00,A pilot program to build a diverse pool of policy experts,Diversity and Inclusion,https://blog.google/outreach-initiatives/diversity/a-pilot-program-to-build-a-diverse-pool-of-policy-experts/,[],0,0,0,0,0
35,2022-09-22 16:30:00+00:00,Google at the 2022 United Nations General Assembly,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-at-the-2022-united-nations-general-assembly/,"['health_disinfo', 'political_disinfo']",0,0,1,0,0
35,2022-09-22 16:30:00+00:00,Google at the 2022 United Nations General Assembly,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-at-the-2022-united-nations-general-assembly/,"['health_disinfo', 'political_disinfo']",0,0,0,1,0
36,2022-09-21 13:30:00+00:00,Sprinting towards a more  equitable and sustainable future,Public Policy,https://blog.google/outreach-initiatives/public-policy/sprinting-towards-a-more-equitable-and-sustainable-future/,[],0,0,0,0,0
37,2022-09-13 23:59:00+00:00,The Court’s decision to dismiss much of the Texas AG’s antitrust case,Public Policy,https://blog.google/outreach-initiatives/public-policy/the-courts-decision-to-dismiss-much-of-the-texas-ags-antitrust-case/,[],0,0,0,0,0
38,2022-07-28 09:15:00+00:00,Our support for the Economic Opportunity Coalition,Public Policy,https://blog.google/outreach-initiatives/public-policy/our-support-for-the-economic-opportunity-coalition/,['health_disinfo'],0,0,1,0,0
39,2022-07-27 15:30:00+00:00,Our new office is a love letter to Atlanta,Company announcements,https://blog.google/inside-google/company-announcements/atlanta-office/,[],0,0,0,0,0
40,2022-07-19 23:00:00+00:00,Transparency in the shadowy world of cyberattacks,Public Policy,https://blog.google/outreach-initiatives/public-policy/transparency-in-the-shadowy-world-of-cyberattacks/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,1,0,0
40,2022-07-19 23:00:00+00:00,Transparency in the shadowy world of cyberattacks,Public Policy,https://blog.google/outreach-initiatives/public-policy/transparency-in-the-shadowy-world-of-cyberattacks/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0
40,2022-07-19 23:00:00+00:00,Transparency in the shadowy world of cyberattacks,Public Policy,https://blog.google/outreach-initiatives/public-policy/transparency-in-the-shadowy-world-of-cyberattacks/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1
41,2022-07-18 13:00:00+00:00,Google and the Global Cross Border Privacy Rules,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-and-the-global-cross-border-privacy-rules/,['health_disinfo'],0,0,1,0,0
42,2022-06-30 23:55:00+00:00,Google and U.S. developers find agreement over Google Play store,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-and-us-developers-find-agreement-over-google-play-store/,['safety'],0,0,0,0,1
43,2022-06-24 07:00:00+00:00,How tech can support transformational growth in Africa,,https://blog.google/around-the-globe/google-africa/supporting-growth-in-africa/,['health_disinfo'],0,0,1,0,0
44,2022-06-23 21:00:00+00:00,It’s time for more transparency around government data demands,Public Policy,https://blog.google/outreach-initiatives/public-policy/its-time-for-more-transparency-around-government-data-demands/,['safety'],0,0,0,0,1
45,2022-06-10 11:00:00+00:00,Google at the Copenhagen Democracy Summit,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-at-the-copenhagen-democracy-summit/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,1,0,0
45,2022-06-10 11:00:00+00:00,Google at the Copenhagen Democracy Summit,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-at-the-copenhagen-democracy-summit/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0
45,2022-06-10 11:00:00+00:00,Google at the Copenhagen Democracy Summit,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-at-the-copenhagen-democracy-summit/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1
46,2022-06-07 09:30:00+00:00,How Congress’ anti-tech bill undermines security,Public Policy,https://blog.google/outreach-initiatives/public-policy/how-congress-anti-tech-bill-undermines-security/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,1,0,0
46,2022-06-07 09:30:00+00:00,How Congress’ anti-tech bill undermines security,Public Policy,https://blog.google/outreach-initiatives/public-policy/how-congress-anti-tech-bill-undermines-security/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0
46,2022-06-07 09:30:00+00:00,How Congress’ anti-tech bill undermines security,Public Policy,https://blog.google/outreach-initiatives/public-policy/how-congress-anti-tech-bill-undermines-security/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1
47,2022-06-03 07:00:00+00:00,Advancing security across Central and Eastern Europe,Safety & Security,https://blog.google/technology/safety-security/advancing-security-across-central-and-eastern-europe/,['safety'],0,0,0,0,1
48,2022-05-23 09:00:00+00:00,A framework for Asia-Pacific’s digital growth,Public Policy,https://blog.google/outreach-initiatives/public-policy/a-framework-for-asias-digital-growth/,"['hate_speech', 'safety']",0,1,0,0,0
48,2022-05-23 09:00:00+00:00,A framework for Asia-Pacific’s digital growth,Public Policy,https://blog.google/outreach-initiatives/public-policy/a-framework-for-asias-digital-growth/,"['hate_speech', 'safety']",0,0,0,0,1
49,2022-05-20 23:59:00+00:00,The facts about the temporary Match Group agreement,Public Policy,https://blog.google/outreach-initiatives/public-policy/the-facts-about-the-temporary-match-group-agreement/,[],0,0,0,0,0
50,2022-05-17 10:45:00+00:00,Building a secure world,Safety & Security,https://blog.google/technology/safety-security/building-a-secure-world/,"['political_disinfo', 'safety']",0,0,0,1,0
50,2022-05-17 10:45:00+00:00,Building a secure world,Safety & Security,https://blog.google/technology/safety-security/building-a-secure-world/,"['political_disinfo', 'safety']",0,0,0,0,1
51,2022-05-09 19:37:00+00:00,Setting the Record Straight on Match Group’s Cynical Campaign Against Google Play,Public Policy,https://blog.google/outreach-initiatives/public-policy/setting-the-record-straight-on-match-groups-cynical-campaign-against-google-play/,['safety'],0,0,0,0,1
52,2022-04-28 12:00:00+00:00,Coming together to protect the global internet,Public Policy,https://blog.google/outreach-initiatives/public-policy/coming-together-to-protect-the-global-internet/,"['health_disinfo', 'political_disinfo']",0,0,1,0,0
52,2022-04-28 12:00:00+00:00,Coming together to protect the global internet,Public Policy,https://blog.google/outreach-initiatives/public-policy/coming-together-to-protect-the-global-internet/,"['health_disinfo', 'political_disinfo']",0,0,0,1,0
53,2022-04-28 10:00:00+00:00,Reforming the patent system to support American innovation,Public Policy,https://blog.google/outreach-initiatives/public-policy/reforming-the-patent-system-to-support-american-innovation/,['health_disinfo'],0,0,1,0,0
54,2022-04-25 16:30:00+00:00,The urgent necessity of enacting a national privacy law,Public Policy,https://blog.google/outreach-initiatives/public-policy/the-urgent-necessity-of-enacting-a-national-privacy-law/,"['hate_speech', 'health_disinfo', 'safety']",0,1,0,0,0
54,2022-04-25 16:30:00+00:00,The urgent necessity of enacting a national privacy law,Public Policy,https://blog.google/outreach-initiatives/public-policy/the-urgent-necessity-of-enacting-a-national-privacy-law/,"['hate_speech', 'health_disinfo', 'safety']",0,0,1,0,0
54,2022-04-25 16:30:00+00:00,The urgent necessity of enacting a national privacy law,Public Policy,https://blog.google/outreach-initiatives/public-policy/the-urgent-necessity-of-enacting-a-national-privacy-law/,"['hate_speech', 'health_disinfo', 'safety']",0,0,0,0,1
55,2022-03-28 20:00:00+00:00,The Trans-Atlantic Data Privacy Framework: Building for the long term,Public Policy,https://blog.google/outreach-initiatives/public-policy/trans-atlantic-data-privacy-framework-building-long-term/,['safety'],0,0,0,0,1
56,2022-03-09 18:00:00+00:00,Building data portability to help consumers choose,Public Policy,https://blog.google/outreach-initiatives/public-policy/building-data-portability-help-consumers-choose/,['safety'],0,0,0,0,1
57,2022-02-17 11:00:00+00:00,Google at the Munich Security Conference,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-munich-security-conference/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,1,0,0
57,2022-02-17 11:00:00+00:00,Google at the Munich Security Conference,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-munich-security-conference/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0
57,2022-02-17 11:00:00+00:00,Google at the Munich Security Conference,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-munich-security-conference/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1
58,2022-02-11 07:00:00+00:00,The path forward with the Privacy Sandbox,Google in Europe,https://blog.google/around-the-globe/google-europe/path-forward-privacy-sandbox/,"['hate_speech', 'safety']",0,1,0,0,0
58,2022-02-11 07:00:00+00:00,The path forward with the Privacy Sandbox,Google in Europe,https://blog.google/around-the-globe/google-europe/path-forward-privacy-sandbox/,"['hate_speech', 'safety']",0,0,0,0,1
59,2022-01-25 21:45:00+00:00,How Google puts you in control of your location data,Public Policy,https://blog.google/outreach-initiatives/public-policy/how-google-puts-you-control-your-location-data/,['safety'],0,0,0,0,1
60,2022-01-21 17:00:00+00:00,AG Paxton’s false claims still don’t add up,Public Policy,https://blog.google/outreach-initiatives/public-policy/ag-paxtons-false-claims-still-dont-add-up/,[],0,0,0,0,0
61,2022-01-18 20:00:00+00:00,The harmful consequences of Congress’s anti-tech bills,Public Policy,https://blog.google/outreach-initiatives/public-policy/the-harmful-consequences-of-congresss-anti-tech-bills/,[],0,0,0,0,0
62,2022-01-13 18:45:00+00:00,Making Open Source software safer and more secure,Safety & Security,https://blog.google/technology/safety-security/making-open-source-software-safer-and-more-secure/,"['health_disinfo', 'safety']",0,0,1,0,0
62,2022-01-13 18:45:00+00:00,Making Open Source software safer and more secure,Safety & Security,https://blog.google/technology/safety-security/making-open-source-software-safer-and-more-secure/,"['health_disinfo', 'safety']",0,0,0,0,1
63,2021-12-10 22:00:00+00:00,"How to sustain a safe, thriving app and game ecosystem",Public Policy,https://blog.google/outreach-initiatives/public-policy/how-sustain-safe-thriving-app-and-game-ecosystem/,['safety'],0,0,0,0,1
64,2021-11-11 14:30:00+00:00,Welcoming US-EU collaboration on cybersecurity,Public Policy,https://blog.google/outreach-initiatives/public-policy/welcoming-us-eu-collaboration-cybersecurity/,"['political_disinfo', 'safety']",0,0,0,1,0
64,2021-11-11 14:30:00+00:00,Welcoming US-EU collaboration on cybersecurity,Public Policy,https://blog.google/outreach-initiatives/public-policy/welcoming-us-eu-collaboration-cybersecurity/,"['political_disinfo', 'safety']",0,0,0,0,1
65,2021-10-26 13:00:00+00:00,Bringing COP26 to people everywhere,Sustainability,https://blog.google/outreach-initiatives/sustainability/google-cop26-2021/,[],0,0,0,0,0
66,2021-10-21 16:30:00+00:00,Our Content Removal Transparency Report for January to June 2021,Public Policy,https://blog.google/outreach-initiatives/public-policy/our-content-removal-transparency-report-january-june-2021/,"['hate_speech', 'health_disinfo', 'political_disinfo']",0,1,0,0,0
66,2021-10-21 16:30:00+00:00,Our Content Removal Transparency Report for January to June 2021,Public Policy,https://blog.google/outreach-initiatives/public-policy/our-content-removal-transparency-report-january-june-2021/,"['hate_speech', 'health_disinfo', 'political_disinfo']",0,0,1,0,0
66,2021-10-21 16:30:00+00:00,Our Content Removal Transparency Report for January to June 2021,Public Policy,https://blog.google/outreach-initiatives/public-policy/our-content-removal-transparency-report-january-june-2021/,"['hate_speech', 'health_disinfo', 'political_disinfo']",0,0,0,1,0
67,2021-10-20 18:30:00+00:00,We support comprehensive climate and clean energy policy,Public Policy,https://blog.google/outreach-initiatives/public-policy/we-support-comprehensive-climate-and-clean-energy-policy/,[],0,0,0,0,0
68,2021-09-28 10:00:00+00:00,Strengthening the transatlantic digital space,Public Policy,https://blog.google/outreach-initiatives/public-policy/strengthening-transatlantic-digital-space/,"['health_disinfo', 'safety']",0,0,1,0,0
68,2021-09-28 10:00:00+00:00,Strengthening the transatlantic digital space,Public Policy,https://blog.google/outreach-initiatives/public-policy/strengthening-transatlantic-digital-space/,"['health_disinfo', 'safety']",0,0,0,0,1
69,2021-09-20 13:30:00+00:00,A digital fast lane for emerging economies,Public Policy,https://blog.google/outreach-initiatives/public-policy/digital-fast-lane-emerging-economies/,[],0,0,0,0,0
70,2021-09-17 13:00:00+00:00,Google at the UN General Assembly,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-un-general-assembly/,"['health_disinfo', 'safety']",0,0,1,0,0
70,2021-09-17 13:00:00+00:00,Google at the UN General Assembly,Public Policy,https://blog.google/outreach-initiatives/public-policy/google-un-general-assembly/,"['health_disinfo', 'safety']",0,0,0,0,1
71,2021-09-09 17:30:00+00:00,Collaborating with the UN to accelerate crisis response,Public Policy,https://blog.google/outreach-initiatives/public-policy/collaborating-un-accelerate-crisis-response/,['health_disinfo'],0,0,1,0,0
72,2021-08-25 21:30:00+00:00,Why we’re committing $10 billion to advance cybersecurity,Safety & Security,https://blog.google/technology/safety-security/why-were-committing-10-billion-to-advance-cybersecurity/,['safety'],0,0,0,0,1
73,2021-07-07 02:02:00+00:00,A lawsuit that ignores choice on Android and Google Play,Public Policy,https://blog.google/outreach-initiatives/public-policy/lawsuit-ignores-choice-android-and-google-play/,['safety'],0,0,0,0,1
74,2021-06-29 10:00:00+00:00,Connecting people to food support in their community,Public Policy,https://blog.google/outreach-initiatives/public-policy/connecting-people-to-food-support/,['children'],1,0,0,0,0
75,2021-05-26 10:00:00+00:00,Tracking data to advance health equity,Google.org,https://blog.google/outreach-initiatives/google-org/health-equity-tracker/,['health_disinfo'],0,0,1,0,0
76,2021-05-20 09:30:00+00:00,Technology can strengthen the U.S.-Korea alliance,Public Policy,https://blog.google/outreach-initiatives/public-policy/technology-can-strengthen-us-korea-alliance/,['health_disinfo'],0,0,1,0,0
77,2021-05-14 10:00:00+00:00,Why we're rallying support for immigration rights,Public Policy,https://blog.google/outreach-initiatives/public-policy/why-were-rallying-support-immigration-rights/,[],0,0,0,0,0
78,2021-04-26 14:00:00+00:00,Google’s partnerships with international organizations,Public Policy,https://blog.google/outreach-initiatives/public-policy/googles-partnerships-with-international-organizations/,['health_disinfo'],0,0,1,0,0
79,2021-04-23 09:00:00+00:00,Seizing the moment - A framework for American innovation,Public Policy,https://blog.google/outreach-initiatives/public-policy/seizing-moment-framework-american-innovation/,['health_disinfo'],0,0,1,0,0
80,2021-04-09 09:55:00+00:00,The U.S. and Europe should launch a trade and technology council,Public Policy,https://blog.google/outreach-initiatives/public-policy/us-europe-technology-trade-council/,"['hate_speech', 'health_disinfo', 'safety']",0,1,0,0,0
80,2021-04-09 09:55:00+00:00,The U.S. and Europe should launch a trade and technology council,Public Policy,https://blog.google/outreach-initiatives/public-policy/us-europe-technology-trade-council/,"['hate_speech', 'health_disinfo', 'safety']",0,0,1,0,0
80,2021-04-09 09:55:00+00:00,The U.S. and Europe should launch a trade and technology council,Public Policy,https://blog.google/outreach-initiatives/public-policy/us-europe-technology-trade-council/,"['hate_speech', 'health_disinfo', 'safety']",0,0,0,0,1
81,2021-03-31 06:00:00+00:00,Google's €25 million contribution to media literacy,Google in Europe,https://blog.google/around-the-globe/google-europe/googles-25-million-contribution-to-media-literacy/,"['children', 'health_disinfo', 'political_disinfo']",1,0,0,0,0
81,2021-03-31 06:00:00+00:00,Google's €25 million contribution to media literacy,Google in Europe,https://blog.google/around-the-globe/google-europe/googles-25-million-contribution-to-media-literacy/,"['children', 'health_disinfo', 'political_disinfo']",0,0,1,0,0
81,2021-03-31 06:00:00+00:00,Google's €25 million contribution to media literacy,Google in Europe,https://blog.google/around-the-globe/google-europe/googles-25-million-contribution-to-media-literacy/,"['children', 'health_disinfo', 'political_disinfo']",0,0,0,1,0
82,2021-03-25 16:00:00+00:00,Sundar Pichai’s testimony before the U.S. House Committee on Energy & Commerce,Public Policy,https://blog.google/outreach-initiatives/public-policy/sundar-pichais-testimony-before-the-us-house-committee-on-energy-commerce/,"['health_disinfo', 'political_disinfo', 'safety']",0,0,1,0,0
