,date,title,cat1,cat2,url,categories,children,hate_speech,health_disinfo,political_disinfo,safety
28,"December 27, 2022",Reels inspiration and in-stream ads: Laura Mejía's tips for creativity and unlocking revenue | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/laura-mejia-reels-strategy,[],0,0,0,0,0
29,"December 21, 2022",Oracle Red Bull Racing: A championship-winning season told through Instagram Reels,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/red-bull-reels-success-story,[],0,0,0,0,0
30,"December 16, 2022",Facebook and Instagram safety guide for Creators | Meta for Creators,BEST PRACTICES,CREATORS,https://www.facebook.com/creators/facebook-and-instagram-safety-guide-for-creators,[],0,0,0,0,0
31,"December 13, 2022",Holiday sales and beyond: How creator Christian Hull generates hype for his merch | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/christian-hull-sales-strategy,[],0,0,0,0,0
32,"December 7, 2022",Expanding opportunities for creators to earn money on Facebook | Meta for Creators,ANNOUNCEMENTS,CREATORS,https://www.facebook.com/creators/earn-money-on-facebook,[],0,0,0,0,0
33,"December 1, 2022",‘What do you do for a living?’: How curiosity propelled Daniel Mac into full time content creation | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/daniel-mac-reels-strategy,[],0,0,0,0,0
34,"November 23, 2022",Terms and Conditions Meta - SembraMedia | Meta Journalism Project,ANNOUNCEMENTS,,https://www.facebook.com/formedia/sembramedia-terms-and-conditions,[],0,0,0,0,0
35,"November 22, 2022",Creator Week 2022: Join us on Instagram and Facebook,ANNOUNCEMENTS,CREATORS,https://www.facebook.com/creators/2022-creator-week,[],0,0,0,0,0
36,"November 16, 2022","Create your core voice and tell a story: tips, tricks and holiday inspo from We The Culture creators | Meta for Creators",SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/reels-advice-holiday-inspo-we-the-culture-creators,['health_disinfo'],0,0,1,0,0
37,"November 15, 2022","Live Creator Camp: create, grow and earn with Live video | Meta for Creators",ANNOUNCEMENTS,CREATORS,https://www.facebook.com/creators/live-creator-camp,[],0,0,0,0,0
38,"November 9, 2022",Fan Engagement 101: Best practices to connect and engage with your audience | Meta for Creators,BEST PRACTICES,CREATORS,https://www.facebook.com/creators/best-practices-for-engaging-with-fans,['safety'],0,0,0,0,1
39,"November 9, 2022",These reels helped LGBTQIA+ allies show support during Pride Month | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/WalkWithPride2022-pride-month-reels,[],0,0,0,0,0
40,"November 7, 2022",News from Creator Week Part 4: São Paulo – new tools to help creators connect with their community and build their business | Meta for Creators,ANNOUNCEMENTS,CREATORS,https://www.facebook.com/creators/2022-launching-new-creator-tools-in-LATAM,[],0,0,0,0,0
41,"November 7, 2022",Inspiring the aspiring: Creators share their successes with professional mode for Facebook profiles | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/professional-mode-success-stories,[],0,0,0,0,0
42,"November 4, 2022",News from Creator Week Part 3: London - new tools to help creators connect with their community and build their business | Meta for Creators,ANNOUNCEMENTS,CREATORS,https://www.facebook.com/creators/2022-launching-new-creator-tools-in-emea,[],0,0,0,0,0
43,"November 3, 2022",How Mister Emerson grew from zero to over 600k followers with Facebook Reels | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/mister-emerson-reels-strategy,[],0,0,0,0,0
44,"November 2, 2022",News from Creator Week Part 2: Los Angeles - New tools to help creators connect with their community and build their business | Meta for Creators,ANNOUNCEMENTS,CREATORS,https://www.facebook.com/creators/2022-launching-new-creator-tools,[],0,0,0,0,0
45,"October 31, 2022",Announcing the global expansion of professional mode | Meta for Creators,ANNOUNCEMENTS,CREATORS,https://www.facebook.com/creators/expanding-professional-mode-for-profiles,[],0,0,0,0,0
46,"October 31, 2022",Creator Week 2022: Introducing the Creators of Tomorrow | Meta for Creators,ANNOUNCEMENTS,CREATORS,https://www.facebook.com/creators/introducing-meta-creators-of-tomorrow,[],0,0,0,0,0
47,"October 31, 2022",News from Creator Week Part 1: Indonesia - new tools to help creators connect with their community and build their business | Meta for Creators,ANNOUNCEMENTS,CREATORS,https://www.facebook.com/creators/2022-launching-new-creator-tools-in-APAC,[],0,0,0,0,0
48,"October 28, 2022",57M+ Reels plays: How Karmalogy delivers big laughs to his community | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/karmalogy-reels-success,['safety'],0,0,0,0,1
49,"October 21, 2022",Impulso Local's new edition offers training and funding for Argentine media,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/fopea-academy,[],0,0,0,0,0
50,"October 21, 2022",How Facebook Reels connected creator Bia Napolitano with a new audience and supercharged her career | Meta for Creators,BEST PRACTICES,CREATORS,https://www.facebook.com/creators/bia-facebook-reels-success-story,['children'],1,0,0,0,0
51,"October 20, 2022",A creator’s guide to growth: Avoiding violations and staying safe | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/avoiding-violations-and-staying-safe-on-facebook,['safety'],0,0,0,0,1
52,"October 20, 2022",Digital transformation is delivering new readers and revenue for these New Zealand publishers | Meta Journalism Project,PROGRAM IMPACT,,https://www.facebook.com/formedia/aotearoa-audience-development-accelerator,[],0,0,0,0,0
53,"October 17, 2022",Branded Content on Facebook Reels: a new way to partner with brands | Meta for Creators,ANNOUNCEMENTS,CREATORS,https://www.facebook.com/creators/brandedcontentonfbreels,[],0,0,0,0,0
54,"October 7, 2022","Meta, ARIJ and ICFJ announce new initiatives to support the news industry in the Middle East and North Africa",ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/MENANews2022H2Update,[],0,0,0,0,0
55,"October 5, 2022",A creator's guide to growth: best practices for growing your Facebook presence | Meta for Creators,BEST PRACTICES,CREATORS,https://www.facebook.com/creators/best-practices-for-growing-your-facebook-presence,[],0,0,0,0,0
56,"October 5, 2022",‘Ads on Facebook Reels’: the official tool for including ads in your reel. | Meta for Creators,ANNOUNCEMENTS,CREATORS,https://www.facebook.com/creators/overlay-ads-for-facebook-reels,[],0,0,0,0,0
57,"October 5, 2022",Music Revenue Sharing is globally available: giving Facebook creators a new way to earn money | Meta for Creators,ANNOUNCEMENTS,CREATORS,https://www.facebook.com/creators/music-revenue-sharing,[],0,0,0,0,0
58,"October 3, 2022",European news publishers build big business through Meta Accelerators,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/european-publishers-accelerator-program,[],0,0,0,0,0
59,"September 30, 2022",Reuters and Meta Journalism Project expand e-learning course for Brazilian journalists | Meta Journalism Project,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/reuters-journalism-course-brazil,[],0,0,0,0,0
60,"September 29, 2022",Four ways journalists can enhance digital safety ahead of elections | Meta Journalism Project,BEST PRACTICES,,https://www.facebook.com/formedia/blog/journalist-safety-elections,[],0,0,0,0,0
61,"September 29, 2022",It's election season: best practices to help you safely engage with your community | Meta for Creators,BEST PRACTICES,CREATORS,https://www.facebook.com/creators/elections-safety,"['health_disinfo', 'political_disinfo', 'safety']",0,0,1,0,0
61,"September 29, 2022",It's election season: best practices to help you safely engage with your community | Meta for Creators,BEST PRACTICES,CREATORS,https://www.facebook.com/creators/elections-safety,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0
61,"September 29, 2022",It's election season: best practices to help you safely engage with your community | Meta for Creators,BEST PRACTICES,CREATORS,https://www.facebook.com/creators/elections-safety,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1
62,"September 28, 2022",Impulso Local's new edition offers training and funding for Argentine media,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/adepa-impulso-2023,[],0,0,0,0,0
63,"September 28, 2022",beIN Sports USA leverages Facebook Reels to grow their audience and reach young adults,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/beINSports,[],0,0,0,0,0
64,"September 22, 2022",The power of earning: how Abud Sadek built his business on Facebook | Meta for Creators,BEST PRACTICES,CREATORS,https://www.facebook.com/creators/abud-s-video-monetization-success-story,[],0,0,0,0,0
65,"September 20, 2022",A creator’s guide to growth: how to get your content seen on Facebook | Meta for Creators,BEST PRACTICES,CREATORS,https://www.facebook.com/creators/how-to-get-your-content-seen-on-facebook,[],0,0,0,0,0
66,"September 20, 2022","Announcing Dale Tú, Instagram’s Latinx and Hispanic Creator Program | Meta for Creators",ANNOUNCEMENTS,CREATORS,https://www.facebook.com/creators/announcing-dale-tu,['safety'],0,0,0,0,1
67,"September 18, 2022",Meta signs commercial innovation deals with New Zealand publishers | Meta Journalism Project,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/meta-announces-new-zealand-commercial-innovation-deals,[],0,0,0,0,0
68,"September 15, 2022","How Jomboy Media, a Facebook page with less than one million followers, consistently drives six-figure revenue | Meta for Creators",SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/jomboy-media,[],0,0,0,0,0
69,"September 14, 2022",Terms and Conditions Meta - Adepa | Meta Journalism Project,ANNOUNCEMENTS,,https://www.facebook.com/formedia/adepa-terms-and-conditions,[],0,0,0,0,0
70,"September 6, 2022",Applications open for year 2 of AU$15M Meta Australian News Fund | Meta Journalism Project,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/meta-announces-year-2-meta-australian-news-fund-applications-open,[],0,0,0,0,0
71,"September 5, 2022",160M+ Reels plays: How Taylor R used trending audio to connect with other moms | Meta for Creators,BEST PRACTICES,CREATORS,https://www.facebook.com/creators/taylor-r-reels-success-story,[],0,0,0,0,0
72,"August 31, 2022",Understanding Video Distribution on Facebook,BEST PRACTICES,,https://www.facebook.com/formedia/blog/understanding-video-distribution-on-facebook,[],0,0,0,0,0
73,"August 24, 2022",Reels help Thai creator Nanake diversify his content strategy | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/nanake-naked-daily-reels-success,['health_disinfo'],0,0,1,0,0
74,"August 23, 2022",How MONO29 shifted to a Reels-first social strategy,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/MONO29-Reels-social-strategy,[],0,0,0,0,0
75,"August 19, 2022",Hop on trends and lead with emotion: More Reels advice from We The Culture creators | Meta for Creators,BEST PRACTICES,CREATORS,https://www.facebook.com/creators/even-more-reels-advice-we-the-culture-creators,[],0,0,0,0,0
76,"August 17, 2022",The science behind the art: How Devon Rodriguez’s reels go viral on Facebook and Instagram | Meta for Creators,BEST PRACTICES,CREATORS,https://www.facebook.com/creators/devon-rodriguez-reels-success-story,[],0,0,0,0,0
77,"August 17, 2022","Introducing Stars on Reels, a new way to earn money on Facebook Reels | Meta for Creators",ANNOUNCEMENTS,CREATORS,https://www.facebook.com/creators/stars-on-reels,[],0,0,0,0,0
78,"August 13, 2022","Consistency, authenticity and experimentation: Reels advice from global creators | Meta for Creators",BEST PRACTICES,CREATORS,https://www.facebook.com/creators/apac-creators-reels-tips-tricks,[],0,0,0,0,0
79,"August 11, 2022",These creators celebrated their KKBOX Music Awards 風雲榜 in the metaverse,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/KKBOX-Music-Awards-Rising-Star-metaverse,[],0,0,0,0,0
80,"August 5, 2022",How Xiaowu woos a global audience and boosts revenue on Facebook,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/xiaowu-media,[],0,0,0,0,0
81,"August 3, 2022","New format, new laughs: OzzyMan on the role of Reels for comedians | Meta for Creators",SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/ozzy-man-reviews-reels,[],0,0,0,0,0
82,"August 1, 2022",An AR filter turned Ramadan sensation: Indonesian superstars Raffi Ahmad and Nagita Slavina reach millions on Reels | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/raffi-ahmad-nagita-slavina-ar-ramadan-game,[],0,0,0,0,0
83,"July 26, 2022","Don’t sleep on audio, and more Reels advice from We The Culture creators | Meta for Creators",BEST PRACTICES,CREATORS,https://www.facebook.com/creators/more-reels-advice-we-the-culture-creators,[],0,0,0,0,0
84,"July 25, 2022",Accelerating the Digital Transformation Program announces the new selected projects in Brazil | Meta Journalism Project,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/fighting-misinformation-program-brazil,[],0,0,0,0,0
85,"July 21, 2022","93M Reels Plays in 6 months: Why Nicholas Crown tests everything, all the time | Meta for Creators",SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/nicholas-crown-reels-success-story,['health_disinfo'],0,0,1,0,0
86,"July 19, 2022","“Do not equate numbers with success,” and more advice from social media guru Candace Marie | Meta for Creators",SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/candace-marie-black-creator-day,[],0,0,0,0,0
87,"July 19, 2022","7 Tips & tricks for creators, from creators, on working with brands | Meta for Creators",SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/creators-brand-deals-partnerships-advice,[],0,0,0,0,0
88,"July 19, 2022",Advice from nonprofits to creators who want to mobilize their communities | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/changemaker-summit-nonprofit-advice-for-creators,"['health_disinfo', 'safety']",0,0,1,0,0
88,"July 19, 2022",Advice from nonprofits to creators who want to mobilize their communities | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/changemaker-summit-nonprofit-advice-for-creators,"['health_disinfo', 'safety']",0,0,0,0,1
89,"July 15, 2022","Bright colors, fun and peeks behind-the-scenes: Kelli Erdmann is all-in on Reels | Meta for Creators",SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/kelli-erdmann-reels-success-story,['hate_speech'],0,1,0,0,0
90,"July 12, 2022",13 newsrooms were selected for the LíderShift program in Latin America | Meta Journalism Project,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/lidershift-program-latam,[],0,0,0,0,0
91,"July 7, 2022",Reels gold at SEA Games 2022! | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/reels-gold-at-sea-games-2022,[],0,0,0,0,0
92,"June 27, 2022",Meet the 2022 HBCU Summer News Fellows | Meta Journalism Project,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/meet-the-2022-hbcu-summer-news-fellows,[],0,0,0,0,0
93,"June 27, 2022",What creators and athletes can learn from snowboarder Scotty James — who used Instagram Reels to grow 45% in 12 months,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/scottyjames,['hate_speech'],0,1,0,0,0
94,"June 22, 2022","Captivate your audience, and more Reels advice from We The Culture creators | Meta for Creators",BEST PRACTICES,CREATORS,https://www.facebook.com/creators/reels-advice-we-the-culture-creators,[],0,0,0,0,0
95,"June 22, 2022",Helping creators build a business now — and for the metaverse | Meta for Creators,ANNOUNCEMENTS,CREATORS,https://www.facebook.com/creators/expanding-ways-creators-earn-money-on-facebook-and-instagram,[],0,0,0,0,0
96,"June 17, 2022",Reels Best Practices: Tips & tricks to succeed on Reels,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/reels-best-practices-tips-tricks,[],0,0,0,0,0
97,"June 14, 2022","How Dr. Jen Caudle, Hillary Klug and Lipstickfables Build Fan Awareness and Create Buzz with Stars | Meta for Creators",SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/blog/stars-best-practices,['health_disinfo'],0,0,1,0,0
98,"June 2, 2022",Easily bring your ideas to life with new Reels creative tools | Meta for Creators,ANNOUNCEMENTS,CREATORS,https://www.facebook.com/creators/new-reels-features-for-facebook-and-instagram,[],0,0,0,0,0
99,"June 2, 2022",Rodrigo Garduño Digitizes his 54D Fitness Program Through Instagram Live,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/Rodrigo-Garduno,[],0,0,0,0,0
100,"June 1, 2022",From viral videos to Facebook Shop: Chef Simone Zanoni’s recipe for community- and business-building | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/chef-simone-zanoni-community-business-building,[],0,0,0,0,0
101,"May 25, 2022",Video creators Woody and Kleiny gained 2.2M followers by evolving their content,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/woody-and-klieny-grow-2.2M-followers,[],0,0,0,0,0
102,"May 20, 2022",Lisa Morales Duke Shifts to a Video-First Approach to Build Her Fitness Community,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/Lisa-Morales-Duke,[],0,0,0,0,0
103,"May 19, 2022",Meta Journalism Project and Oxford's Saïd Business School bring News Marketing Program to different regions across the world,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/news-marketing-program-asia-latam-middle-east-north-africa,[],0,0,0,0,0
104,"May 18, 2022",Accelerator Alums Convene for Meta Global Retention Program,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/meta-global-retention-accelerator-2022,[],0,0,0,0,0
105,"May 17, 2022",Digital projects are helping transform these rural Australian newsrooms,PROGRAM IMPACT,,https://www.facebook.com/formedia/blog/country-press-australia-regional-newsroom-sustainability-and-digital-transformation-fund,[],0,0,0,0,0
106,"May 17, 2022",4 regional Australian newsrooms invest in sustainable journalism,PROGRAM IMPACT,,https://www.facebook.com/formedia/blog/sustainable-newsroom-innovations-Facebook-Australian-News-Fund,[],0,0,0,0,0
107,"May 16, 2022",Love Sweat Fitness Builds Brand and Community Through Social Innovation,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/love-sweat-fitness,[],0,0,0,0,0
108,"May 13, 2022",Meta and FOPEA consolidate four programs for the professionalization of Argentine journalists in the digital environment,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/programas-fope-2022-argentina,[],0,0,0,0,0
109,"May 12, 2022","Dr. Kojo Sarfo’s secret sauce for community-building: consistency, caring and Reels | Meta for Creators",SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/dr-kojo-sarfo-facebook-reels-live-mental-health,['health_disinfo'],0,0,1,0,0
110,"May 12, 2022",Creating 10 Placements for Afghan Journalists in Canadian Newsrooms,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/afghan-journalist-canadian-newsroom-residence,[],0,0,0,0,0
111,"May 9, 2022",Reels Star Search: “Be unique and have fun with it” | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/reels-star-search-kheris-sarah-stacey,[],0,0,0,0,0
112,"May 4, 2022","Reels updates: Rewards for original content, expanded monetization opportunities and new insights",ANNOUNCEMENTS,CREATORS,https://www.facebook.com/creators/reels-content-monetization-updates,[],0,0,0,0,0
113,"May 4, 2022",Pac-12 Leverages Short-Form Video and Athlete Star Power to Build a Branded Content Business,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/Pac12,[],0,0,0,0,0
114,"May 2, 2022",How Overtime Used Reels to Launch Limited-Edition Collectibles,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/OvertimeElite,[],0,0,0,0,0
115,"April 28, 2022",Meta and ANP launch transformation program for newsrooms in Chile,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/programa-redacciones-en-cambio-chile,[],0,0,0,0,0
116,"April 27, 2022","Adepa, Meta, and ICFJ announce a new edition of the “Evolución” program",ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/adepa-evolucion-2022,[],0,0,0,0,0
117,"April 22, 2022",Facebook Fundamentals for News launches in the Philippines,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/meta-announces-Facebook-Fundamentals-Philippines,[],0,0,0,0,0
118,"April 21, 2022",Watch: Safety tips to help your Meta community thrive | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/safety-school-video-series,[],0,0,0,0,0
119,"April 19, 2022",Meta and IFCN Announce Grant Program to Combat Climate Related Misinformation,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/climate-misinformation-grant,[],0,0,0,0,0
120,"April 14, 2022",Daymond John celebrates black business through Facebook-exclusive Black Entrepreneurs Day event | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/daymond-john-black-entrepreneurs-day,[],0,0,0,0,0
121,"April 13, 2022",Valuable lessons from the FOPEA training program in Argentina,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/valuable-lessons-from-fopea-training-program-argentina,[],0,0,0,0,0
122,"April 12, 2022",Bleacher Report and House of Highlights Grow Business Through Short-Form Content Investment Across Facebook and Instagram,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/turner-sports,[],0,0,0,0,0
123,"April 11, 2022",Club Tigres leverages players’ fandom to create a successful Paid Online Event*,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/club-tigres-combines-best-practices-to-create-successful-paid-online-event,[],0,0,0,0,0
124,"April 11, 2022",106 Publishers Awarded Meta Country Press Australia Newsroom Fund,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/meta-announces-recipients-of-country-press-australia-news-fund,[],0,0,0,0,0
125,"April 7, 2022",X Games Leverages Collabs and Reels on Instagram to Drive Increased Viewership,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/xgamesreels,[],0,0,0,0,0
126,"April 7, 2022","WhatsApp, IFCN announce grant program to fight misinformation | Meta Journalism Project",ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/ifcn+whatsapp_integrity_fund,[],0,0,0,0,0
127,"April 6, 2022","An Asian perspective of diversity, equity and inclusion (DEI) in the news industry",ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/AAJA-Asia-Advancing-News-Diversity-In-Asia,[],0,0,0,0,0
128,"April 5, 2022",Meta Launches Global Mentorship Program to Help Fact-Checkers Fight Misinformation,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/global-mentorship-program-fight-misinformation,[],0,0,0,0,0
129,"April 1, 2022",Meta’s Investments in Fact-Checking,PROGRAM IMPACT,,https://www.facebook.com/formedia/blog/third-party-fact-checking-industry-investments,[],0,0,0,0,0
